Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Chuck Stubbs;Pria;Orang Tua;Bekerja;Beasiswa;2007;Bekasi;Tidak;Ya;4,5;FISIP
Chuck Sylvester;Wanita;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_4;Ya;6,5;FIKOM
Chuck Vallory;Wanita;Kosong;Belum;Beasiswa;2007;Jakarta;Tidak;Tidak;6,5;FTI
Chuck Vince;Pria;Kos;Belum;Kosong;2008;Tangerang;UKM_2;Tidak;4,5;FTI
Chuck Ward;Wanita;Kos;Bekerja;Beasiswa;2007;Karawang;Tidak;Ya;7;FTI
Chuck Waterhouse;Wanita;Kosong;Belum;Orang Tua;2008;Jakarta;UKM_4;Ya;4,5;FT
Chuck Wilde;Pria;Kos;Bekerja;Kosong;2008;Tangerang;UKM_4;Ya;3,5;FTI
Chuck Wise;Wanita;Kos;Bekerja;Orang Tua;2008;Bekasi;UKM_2;Ya;4,5;FIKOM
Chuck Yard;Pria;Kos;Bekerja;Beasiswa;2007;Bekasi;UKM_2;Ya;7;FT
Chuck Zaoui;Wanita;Kosong;Bekerja;Kosong;2007;Tangerang;UKM_4;Tidak;6;FT
Ciara Blythe;Pria;Kos;Bekerja;Beasiswa;2009;Bogor;Tidak;Tidak;6;DKV
Ciara Dixon;Wanita;Orang Tua;Bekerja;Kosong;2007;Tangerang;UKM_4;Tidak;4;FIKOM
Ciara Eyres;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Jakarta;UKM_3;Tidak;4,5;FIKOM
Ciara Holmes;Wanita;Kosong;Bekerja;Kosong;2007;Serang;UKM_3;Tidak;5;FIKOM
Ciara Lane;Pria;Kosong;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;5;FISIP
Ciara Morris;Wanita;Kos;Belum;Kosong;2009;Bekasi;UKM_4;Ya;6,5;FTI
Ciara Pearson;Wanita;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_4;Tidak;4,5;FTI
Ciara Rogers;Pria;Orang Tua;Belum;Orang Tua;2008;Karawang;Tidak;Ya;6;DKV
Ciara Shepherd;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bogor;Tidak;Ya;6;FTI
Ciara Thompson;Pria;Kos;Belum;Orang Tua;2009;Bekasi;UKM_2;Tidak;7;FTI
Ciara Uttridge;Pria;Kosong;Belum;Kosong;2009;Serang;UKM_2;Ya;5,5;FIKOM
Claire Briggs;Wanita;Orang Tua;Belum;Kosong;2008;Serang;UKM_2;Ya;4;DKV
Claire Brown;Pria;Kos;Bekerja;Kosong;2008;Jakarta;UKM_2;Tidak;5;DKV
Claire Driscoll;Pria;Kosong;Bekerja;Kosong;2007;Jakarta;UKM_4;Ya;4;FISIP
Claire Hood;Pria;Kos;Bekerja;Orang Tua;2008;Karawang;UKM_2;Ya;4,5;FIKOM
Claire Irwin;Wanita;Kosong;Belum;Beasiswa;2008;Karawang;UKM_2;Tidak;7;FISIP
Claire Jacobs;Pria;Orang Tua;Bekerja;Kosong;2008;Bogor;UKM_1;Ya;7;FISIP
Claire James;Wanita;Kosong;Belum;Orang Tua;2009;Serang;UKM_2;Ya;6;DKV
Claire Lynn;Pria;Kosong;Belum;Kosong;2009;Bekasi;UKM_4;Tidak;6,5;FIKOM
Claire Payne;Wanita;Orang Tua;Belum;Beasiswa;2007;Jakarta;UKM_3;Ya;6;FTI
Claire Pickard;Pria;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;UKM_3;Ya;3,5;FTI
Claire Richards;Pria;Kosong;Belum;Beasiswa;2007;Tangerang;UKM_2;Tidak;5,5;FISIP
Claire Russel;Wanita;Orang Tua;Belum;Orang Tua;2009;Karawang;UKM_4;Tidak;4,5;FT
Claire Sherwood;Wanita;Kosong;Bekerja;Beasiswa;2009;Jakarta;UKM_3;Tidak;4;FISIP
Claire Tyler;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;UKM_4;Tidak;6,5;FIKOM
Claire Vane;Wanita;Kos;Belum;Beasiswa;2008;Serang;UKM_2;Tidak;6,5;DKV
Claire Willis;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_2;Tidak;3,5;FTI
Clarissa Antcliff;Wanita;Kosong;Bekerja;Beasiswa;2009;Serang;UKM_2;Tidak;4,5;FTI
Clarissa Becker;Wanita;Kos;Belum;Orang Tua;2009;Karawang;UKM_2;Tidak;6;DKV
Clarissa Donnelly;Pria;Orang Tua;Bekerja;Kosong;2008;Bogor;UKM_1;Ya;5;FISIP
Clarissa Flack;Wanita;Orang Tua;Belum;Kosong;2008;Jakarta;Tidak;Ya;3,5;FISIP
Clarissa Gosling;Pria;Kosong;Bekerja;Beasiswa;2009;Tangerang;Tidak;Ya;4,5;DKV
Clarissa Grady;Wanita;Kosong;Bekerja;Orang Tua;2007;Tangerang;Tidak;Ya;3,5;FIKOM
Clarissa Harper;Pria;Kos;Belum;Kosong;2009;Karawang;UKM_1;Tidak;6;FIKOM
Clarissa Patel;Wanita;Orang Tua;Bekerja;Kosong;2008;Tangerang;UKM_2;Tidak;5;FT
Clarissa Paterson;Pria;Orang Tua;Belum;Kosong;2007;Karawang;UKM_3;Ya;6;DKV
Clarissa Robinson;Wanita;Orang Tua;Bekerja;Orang Tua;2008;Jakarta;UKM_1;Tidak;7;FTI
Clarissa Walsh;Wanita;Kosong;Bekerja;Beasiswa;2008;Karawang;Tidak;Tidak;5,5;FTI
Clint Boyle;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Karawang;UKM_2;Tidak;5;FTI
Clint Calderwood;Wanita;Orang Tua;Bekerja;Kosong;2007;Serang;Tidak;Tidak;4,5;FIKOM
Clint Cameron;Pria;Kos;Belum;Orang Tua;2009;Bekasi;UKM_4;Ya;4;FIKOM
Clint Campbell;Wanita;Kos;Belum;Kosong;2008;Jakarta;UKM_2;Ya;5,5;FIKOM
Clint Carter;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_3;Ya;5,5;DKV
Clint Clifford;Pria;Orang Tua;Belum;Kosong;2008;Jakarta;UKM_4;Tidak;5;FISIP
Clint Eastwood;Pria;Kosong;Belum;Beasiswa;2008;Jakarta;UKM_1;Tidak;6,5;FISIP
Clint Farmer;Wanita;Kos;Belum;Orang Tua;2008;Karawang;UKM_3;Tidak;4;FIKOM
Clint Fields;Pria;Orang Tua;Bekerja;Orang Tua;2007;Bekasi;UKM_3;Ya;5,5;FIKOM
Clint Foxley;Pria;Kosong;Belum;Kosong;2008;Tangerang;UKM_3;Tidak;4;FISIP
Clint Furnell;Pria;Orang Tua;Bekerja;Kosong;2008;Karawang;Tidak;Tidak;7;FISIP
Clint Gibson;Wanita;Orang Tua;Belum;Beasiswa;2008;Jakarta;UKM_1;Ya;3,5;DKV
Clint Griffiths;Wanita;Kosong;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Tidak;5;FIKOM
Clint Hobson;Pria;Kos;Belum;Orang Tua;2008;Karawang;UKM_2;Tidak;7;FT
Clint Holmes;Wanita;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;4,5;FISIP
Clint Huggins;Wanita;Orang Tua;Bekerja;Kosong;2009;Serang;UKM_4;Tidak;5,5;FTI
Clint Hunter;Pria;Kos;Belum;Kosong;2009;Jakarta;UKM_3;Tidak;7;DKV
Clint Jackson;Pria;Kosong;Bekerja;Kosong;2008;Tangerang;UKM_3;Ya;4;FISIP
Clint John;Pria;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_4;Ya;4;DKV
Clint Keys;Wanita;Kosong;Belum;Kosong;2008;Bekasi;UKM_2;Tidak;5;FTI
Clint Lane;Pria;Orang Tua;Belum;Kosong;2008;Bogor;UKM_2;Ya;5;DKV
Clint Larsen;Wanita;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Ya;5;FTI
Clint Lewis;Wanita;Kosong;Bekerja;Orang Tua;2009;Bekasi;UKM_2;Ya;4;FT
Clint Lindop;Wanita;Kosong;Belum;Kosong;2007;Bekasi;UKM_1;Tidak;3,5;FIKOM
Clint Lynch;Wanita;Kosong;Bekerja;Kosong;2008;Karawang;UKM_4;Tidak;5;FISIP
Clint Murray;Wanita;Kos;Belum;Kosong;2009;Tangerang;UKM_1;Ya;4;FTI
Clint Noach;Pria;Kos;Belum;Beasiswa;2007;Jakarta;Tidak;Ya;5;FIKOM
Clint Olivier;Wanita;Kos;Bekerja;Orang Tua;2009;Karawang;UKM_3;Ya;4;FTI
Clint Osmond;Pria;Kosong;Bekerja;Kosong;2009;Bogor;UKM_3;Tidak;5,5;FIKOM
Clint Plumb;Wanita;Orang Tua;Belum;Kosong;2008;Karawang;UKM_4;Tidak;6,5;FISIP
Clint Porter;Wanita;Kosong;Belum;Orang Tua;2008;Bogor;Tidak;Ya;6;FISIP
Clint Rees;Wanita;Kosong;Bekerja;Kosong;2009;Bogor;UKM_1;Tidak;5,5;FIKOM
Clint Ring;Wanita;Kosong;Bekerja;Beasiswa;2009;Karawang;UKM_2;Tidak;5,5;FTI
Clint Rixon;Pria;Kosong;Belum;Kosong;2008;Bogor;UKM_4;Ya;4;FTI
Clint Roberts;Wanita;Kosong;Belum;Orang Tua;2007;Bekasi;Tidak;Tidak;5;FISIP
Clint Ross;Pria;Kos;Belum;Beasiswa;2009;Tangerang;Tidak;Ya;5;FT
Clint Seymour;Pria;Kosong;Belum;Kosong;2009;Bekasi;Tidak;Tidak;6;FISIP
Clint Simpson;Wanita;Kos;Bekerja;Kosong;2007;Serang;UKM_1;Tidak;5,5;FT
Clint Spencer;Pria;Kos;Bekerja;Kosong;2009;Bekasi;UKM_4;Ya;7;FTI
Clint Stark;Pria;Kosong;Belum;Orang Tua;2009;Karawang;UKM_2;Tidak;6;FISIP
Clint Strong;Wanita;Kos;Belum;Orang Tua;2008;Bogor;UKM_3;Tidak;6;DKV
Clint Summers;Wanita;Kosong;Belum;Orang Tua;2007;Bogor;UKM_3;Ya;6;FIKOM
Clint Tailor;Pria;Orang Tua;Bekerja;Orang Tua;2009;Bogor;UKM_2;Ya;5,5;FISIP
Clint Thomas;Wanita;Orang Tua;Belum;Kosong;2008;Serang;UKM_3;Tidak;4;FISIP
Clint Thorpe;Wanita;Kosong;Belum;Beasiswa;2007;Jakarta;UKM_4;Tidak;3,5;FTI
Clint Tobin;Wanita;Orang Tua;Belum;Kosong;2009;Jakarta;UKM_4;Tidak;4,5;FIKOM
Clint Utterson;Pria;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_1;Ya;5,5;DKV
Clint Victor;Pria;Orang Tua;Bekerja;Beasiswa;2009;Serang;Tidak;Ya;7;FIKOM
Clint Walker;Pria;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_1;Tidak;4,5;FTI
Clint White;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;UKM_3;Ya;3,5;FIKOM
Clint Wood;Pria;Kosong;Belum;Orang Tua;2007;Jakarta;Tidak;Tidak;6,5;FISIP
Clint Yarwood;Wanita;Kos;Belum;Kosong;2007;Jakarta;Tidak;Tidak;3,5;FTI
Colleen Ellis;Pria;Orang Tua;Belum;Orang Tua;2008;Jakarta;Tidak;Tidak;4;FISIP
Colleen Farrant;Pria;Kos;Belum;Beasiswa;2008;Serang;UKM_1;Tidak;7;FISIP
Colleen Glynn;Wanita;Kos;Bekerja;Beasiswa;2008;Bogor;UKM_3;Tidak;3,5;FISIP
Colleen Hammond;Pria;Orang Tua;Bekerja;Kosong;2008;Bekasi;UKM_4;Tidak;5;FT
Colleen Long;Wanita;Kosong;Belum;Beasiswa;2009;Serang;UKM_1;Ya;4;FTI
Colleen Mccormick;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_2;Tidak;7;FTI
Colleen Mcleod;Wanita;Kosong;Belum;Beasiswa;2009;Karawang;UKM_1;Tidak;5;FTI
Colleen Oldfield;Pria;Kosong;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Tidak;4;FT
Colleen Redwood;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Karawang;UKM_1;Tidak;4;FISIP
Colleen Ross;Pria;Orang Tua;Bekerja;Kosong;2007;Serang;UKM_1;Tidak;7;FISIP
Colleen Sheldon;Wanita;Kosong;Bekerja;Kosong;2009;Karawang;UKM_2;Ya;6,5;DKV
Colleen Shelton;Pria;Orang Tua;Belum;Beasiswa;2009;Jakarta;UKM_2;Tidak;5,5;FISIP
Courtney Attwood;Wanita;Kos;Belum;Beasiswa;2008;Jakarta;UKM_3;Tidak;7;FIKOM
Courtney Becker;Pria;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_4;Ya;4;FTI
Courtney Downing;Wanita;Kos;Belum;Orang Tua;2009;Bogor;Tidak;Ya;6,5;FTI
Courtney Eaton;Pria;Kos;Belum;Beasiswa;2009;Bekasi;UKM_1;Tidak;7;FISIP
Courtney Fulton;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_1;Tidak;6;FTI
Courtney Grey;Wanita;Kos;Bekerja;Beasiswa;2009;Tangerang;UKM_3;Ya;5;DKV
Courtney Hamilton;Wanita;Kosong;Bekerja;Kosong;2009;Karawang;UKM_2;Tidak;3,5;FTI
Courtney Harrington;Pria;Kosong;Bekerja;Beasiswa;2007;Karawang;UKM_1;Ya;5;DKV
Courtney Murphy;Pria;Orang Tua;Belum;Kosong;2009;Karawang;Tidak;Tidak;6;FT
Courtney Nobbs;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Bekasi;Tidak;Tidak;3,5;FIKOM
Courtney Radley;Pria;Kosong;Bekerja;Orang Tua;2008;Jakarta;UKM_2;Ya;7;FT
Courtney Rust;Pria;Kosong;Bekerja;Beasiswa;2009;Tangerang;UKM_3;Ya;7;FISIP
Courtney Talbot;Wanita;Kosong;Bekerja;Kosong;2008;Jakarta;UKM_4;Ya;4;FIKOM
Courtney Thatcher;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Tangerang;UKM_2;Tidak;5;FISIP
Courtney Thomas;Pria;Kos;Belum;Kosong;2008;Jakarta;Tidak;Ya;3,5;FISIP
Courtney Tobin;Pria;Orang Tua;Bekerja;Kosong;2009;Jakarta;UKM_4;Ya;3,5;FISIP
Courtney Walton;Wanita;Orang Tua;Belum;Beasiswa;2007;Bekasi;UKM_1;Ya;4;FTI
Cristal Bullock;Pria;Kosong;Belum;Beasiswa;2008;Jakarta;Tidak;Tidak;4;FIKOM
Cristal Dubois;Pria;Kos;Bekerja;Beasiswa;2008;Bekasi;UKM_3;Ya;3,5;FT
Cristal Flett;Wanita;Kosong;Bekerja;Orang Tua;2009;Karawang;UKM_4;Ya;4,5;FIKOM
Cristal Mitchell;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_2;Tidak;5;DKV
Cristal Norton;Pria;Kos;Bekerja;Orang Tua;2007;Jakarta;UKM_3;Tidak;4,5;FTI
Cristal Olson;Pria;Kos;Bekerja;Orang Tua;2007;Karawang;UKM_4;Ya;6;FTI
Cristal Preston;Pria;Orang Tua;Bekerja;Beasiswa;2008;Karawang;Tidak;Ya;4,5;FIKOM
Cristal Radcliffe;Pria;Kos;Bekerja;Beasiswa;2007;Jakarta;UKM_2;Ya;5;FTI
Cristal Ripley;Wanita;Kosong;Bekerja;Orang Tua;2008;Jakarta;UKM_2;Tidak;5;FT
Cristal Rose;Wanita;Kosong;Belum;Orang Tua;2008;Serang;UKM_2;Tidak;4,5;FTI
Cristal Smith;Pria;Kos;Belum;Orang Tua;2008;Karawang;UKM_3;Tidak;7;FISIP
Cristal Ulyatt;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Bogor;UKM_2;Ya;3,5;DKV
Cristal Vincent;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_3;Ya;6;FT
Crystal Butler;Pria;Orang Tua;Belum;Kosong;2007;Karawang;UKM_3;Tidak;4,5;FTI
Crystal Dobson;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_1;Ya;7;FTI
Crystal Edley;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_2;Tidak;6,5;DKV
Crystal Foxley;Wanita;Kosong;Bekerja;Kosong;2008;Bogor;UKM_4;Ya;6,5;FT
Crystal Franks;Wanita;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_1;Ya;5,5;FISIP
Crystal Hamilton;Wanita;Kosong;Bekerja;Orang Tua;2007;Tangerang;UKM_3;Tidak;6,5;FIKOM
Crystal Hilton;Wanita;Kos;Belum;Orang Tua;2009;Karawang;UKM_1;Ya;5,5;FIKOM
Crystal Larkin;Wanita;Orang Tua;Belum;Kosong;2009;Tangerang;UKM_2;Tidak;7;FIKOM
Crystal Noon;Pria;Orang Tua;Bekerja;Kosong;2008;Jakarta;UKM_2;Ya;5,5;FTI
Crystal Pitt;Pria;Kos;Bekerja;Orang Tua;2008;Bekasi;UKM_2;Ya;6,5;DKV
Crystal Stone;Wanita;Kos;Bekerja;Beasiswa;2009;Jakarta;UKM_2;Tidak;6;DKV
Crystal Tate;Wanita;Kos;Belum;Kosong;2008;Bekasi;UKM_1;Tidak;3,5;FTI
Crystal Veale;Pria;Kosong;Bekerja;Kosong;2007;Karawang;UKM_3;Ya;5,5;FIKOM
Crystal Whitmore;Wanita;Kos;Belum;Kosong;2008;Tangerang;UKM_2;Tidak;7;FT
Crystal Wooldridge;Wanita;Orang Tua;Belum;Kosong;2008;Karawang;UKM_3;Ya;5,5;FTI
Cynthia Ainsworth;Pria;Kosong;Bekerja;Beasiswa;2009;Serang;UKM_2;Tidak;3,5;FT
Cynthia Alcroft;Pria;Orang Tua;Bekerja;Kosong;2009;Karawang;UKM_3;Ya;6,5;FTI
Cynthia Broomfield;Wanita;Kos;Bekerja;Orang Tua;2008;Karawang;UKM_1;Tidak;7;FT
Cynthia Dixon;Pria;Orang Tua;Belum;Kosong;2007;Bogor;UKM_2;Ya;4;FT
Cynthia Emmett;Wanita;Kosong;Belum;Kosong;2008;Karawang;UKM_3;Tidak;4;FIKOM
Cynthia Gosling;Wanita;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_2;Tidak;7;FT
Cynthia Knight;Wanita;Kosong;Belum;Kosong;2009;Serang;UKM_1;Ya;5,5;DKV
Cynthia Oatway;Wanita;Kos;Bekerja;Kosong;2007;Bekasi;UKM_2;Ya;4,5;FTI
Cynthia Oswald;Wanita;Kos;Belum;Orang Tua;2008;Karawang;Tidak;Tidak;6,5;DKV
Cynthia Poulton;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Jakarta;UKM_2;Ya;7;DKV
Cynthia Rixon;Wanita;Kosong;Belum;Beasiswa;2009;Bekasi;UKM_1;Tidak;7;FT
Cynthia Snow;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_3;Tidak;6,5;DKV
Cynthia Spencer;Pria;Kosong;Bekerja;Beasiswa;2008;Jakarta;UKM_3;Ya;6,5;FTI
Dakota Anderson;Wanita;Kosong;Bekerja;Beasiswa;2007;Bekasi;UKM_4;Tidak;3,5;FTI
Dakota Bayliss;Pria;Kosong;Belum;Beasiswa;2008;Serang;UKM_2;Tidak;3,5;FTI
Dakota Benson;Wanita;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_4;Tidak;5,5;FTI
Dakota Ebden;Wanita;Kosong;Belum;Beasiswa;2008;Tangerang;UKM_2;Ya;5,5;FTI
Dakota Grey;Pria;Kosong;Belum;Kosong;2007;Karawang;UKM_4;Ya;5;FISIP
Dakota Hall;Pria;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_3;Ya;6,5;FTI
Dakota Harrison;Pria;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_1;Ya;4,5;FT
Dakota Hunt;Pria;Kos;Belum;Beasiswa;2008;Jakarta;Tidak;Ya;6,5;FT
Dakota Jackson;Wanita;Kosong;Belum;Beasiswa;2008;Jakarta;UKM_2;Ya;6,5;FISIP
Dakota Jacobs;Pria;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_2;Ya;4,5;FISIP
Dakota Kelly;Pria;Kosong;Bekerja;Beasiswa;2008;Karawang;UKM_2;Ya;7;FT
Dakota May;Pria;Kos;Bekerja;Orang Tua;2008;Jakarta;UKM_3;Tidak;6;DKV
Dakota Niles;Pria;Kosong;Bekerja;Beasiswa;2009;Jakarta;Tidak;Ya;5;FTI
Dakota Parker;Pria;Kos;Bekerja;Orang Tua;2008;Serang;Tidak;Ya;6;FT
Dakota Poole;Pria;Kosong;Bekerja;Kosong;2008;Serang;UKM_1;Tidak;7;DKV
Dakota Reese;Pria;Kos;Belum;Beasiswa;2008;Bekasi;Tidak;Tidak;5,5;FISIP
Dakota Robertson;Pria;Kosong;Belum;Kosong;2009;Jakarta;UKM_1;Ya;4,5;FTI
Dakota Russell;Pria;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_1;Tidak;4;DKV
Dakota Simpson;Pria;Kos;Bekerja;Kosong;2009;Jakarta;UKM_4;Tidak;4;FT
Dakota Welsch;Wanita;Orang Tua;Bekerja;Kosong;2009;Bekasi;UKM_2;Ya;7;DKV
Dakota Wild;Wanita;Kos;Belum;Beasiswa;2009;Bogor;UKM_4;Ya;4;DKV
Dakota Wilkinson;Pria;Kosong;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Tidak;7;FIKOM
Dakota Williams;Pria;Kos;Bekerja;Beasiswa;2007;Bogor;Tidak;Tidak;5;DKV
Dakota Willis;Wanita;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_3;Ya;4;DKV
Dalia Adler;Wanita;Kos;Belum;Kosong;2009;Bogor;UKM_1;Tidak;5,5;FTI
Dalia Bishop;Wanita;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_4;Ya;7;FTI
Dalia Camden;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;Tidak;Ya;7;FISIP
Dalia Chapman;Wanita;Orang Tua;Belum;Beasiswa;2007;Bekasi;Tidak;Ya;4,5;FISIP
Dalia Edwards;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;6;FISIP
Dalia Faulkner;Pria;Orang Tua;Bekerja;Kosong;2008;Serang;Tidak;Tidak;3,5;FIKOM
Dalia Hobson;Pria;Orang Tua;Belum;Kosong;2007;Serang;UKM_3;Ya;4,5;FISIP
Dalia Hooper;Wanita;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_2;Ya;4;DKV
Dalia John;Pria;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_2;Ya;4;FIKOM
Dalia Newton;Wanita;Kosong;Bekerja;Orang Tua;2007;Jakarta;UKM_2;Ya;4,5;FT
Dalia Roberts;Pria;Kosong;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Tidak;4;FTI
Dalia Scott;Pria;Kos;Belum;Beasiswa;2008;Serang;UKM_3;Ya;5,5;FIKOM
Dalia Seymour;Pria;Kosong;Bekerja;Beasiswa;2009;Bogor;UKM_1;Ya;4,5;FT
Dalia Thompson;Pria;Orang Tua;Bekerja;Kosong;2009;Serang;UKM_3;Tidak;5;FIKOM
Dalia Walsh;Pria;Kosong;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Tidak;6,5;FTI
Dalia Weston;Wanita;Kosong;Belum;Orang Tua;2008;Jakarta;UKM_3;Tidak;4,5;FIKOM
Dalia Wilkinson;Wanita;Kos;Bekerja;Kosong;2009;Bekasi;UKM_1;Tidak;5;FIKOM
Dani Barclay;Wanita;Orang Tua;Belum;Kosong;2007;Serang;UKM_2;Tidak;3,5;FT
Dani Bolton;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;UKM_1;Tidak;6;FISIP
Dani Daniells;Pria;Kos;Belum;Kosong;2008;Bekasi;Tidak;Ya;3,5;FISIP
Dani Drummond;Pria;Orang Tua;Bekerja;Kosong;2008;Bogor;UKM_2;Tidak;4;FT
Dani Goldsmith;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_3;Tidak;5;FIKOM
Dani Isaac;Wanita;Kosong;Belum;Kosong;2009;Serang;UKM_1;Ya;5,5;FTI
Dani King;Wanita;Kos;Belum;Orang Tua;2009;Bogor;UKM_4;Tidak;6,5;FTI
Dani Martin;Wanita;Kosong;Belum;Kosong;2007;Bekasi;UKM_1;Ya;5,5;DKV
Dani May;Pria;Kos;Belum;Beasiswa;2009;Tangerang;UKM_1;Ya;6;FTI
Dani Owen;Wanita;Kosong;Bekerja;Kosong;2007;Tangerang;UKM_2;Ya;4,5;FT
Dani Power;Pria;Kosong;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Tidak;6;DKV
Dani Stevens;Wanita;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_4;Ya;5,5;FIKOM
Dani Ward;Wanita;Kosong;Belum;Kosong;2009;Jakarta;UKM_1;Ya;5,5;FTI
Dani Wigley;Wanita;Kosong;Bekerja;Kosong;2007;Jakarta;UKM_1;Tidak;6,5;FT
Daniel Abbey;Wanita;Kos;Belum;Orang Tua;2008;Serang;Tidak;Ya;4;FTI
Daniel Alexander;Pria;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;6,5;DKV
Daniel Ballard;Wanita;Kos;Belum;Beasiswa;2008;Serang;UKM_1;Ya;5,5;DKV
Daniel Booth;Pria;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_4;Ya;5;FISIP
Daniel Brown;Pria;Kos;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;4;FIKOM
Daniel Chappell;Wanita;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;6;FIKOM
Daniel Clifton;Wanita;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_4;Tidak;4;FISIP
Daniel Collins;Pria;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Tidak;6;FT
Daniel Craig;Pria;Kos;Belum;Beasiswa;2007;Serang;UKM_4;Tidak;3,5;FIKOM
Daniel Denton;Pria;Kosong;Bekerja;Kosong;2008;Tangerang;UKM_3;Ya;6,5;FTI
Daniel Dixon;Pria;Orang Tua;Bekerja;Kosong;2008;Serang;UKM_4;Ya;5;FTI
Daniel Dunbar;Pria;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_1;Tidak;5;FTI
Daniel Eaton;Pria;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_2;Ya;6;DKV
Daniel Ellery;Wanita;Kosong;Bekerja;Kosong;2009;Tangerang;UKM_3;Tidak;4,5;DKV
Daniel Fox;Pria;Kos;Belum;Orang Tua;2009;Bogor;UKM_3;Ya;4;FISIP
Daniel Gaynor;Wanita;Orang Tua;Belum;Orang Tua;2007;Karawang;Tidak;Ya;6;FISIP
Daniel Gordon;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_1;Tidak;4;FISIP
Daniel Harper;Pria;Kosong;Bekerja;Orang Tua;2008;Bogor;UKM_4;Tidak;6,5;FT
Daniel Harris;Wanita;Orang Tua;Belum;Kosong;2008;Serang;UKM_3;Tidak;5,5;DKV
Daniel Hunt;Wanita;Kos;Bekerja;Kosong;2007;Karawang;UKM_4;Ya;5,5;FTI
Daniel Jeffery;Wanita;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_1;Tidak;6,5;FT
Daniel Johnson;Wanita;Kosong;Belum;Beasiswa;2007;Karawang;UKM_4;Tidak;3,5;FISIP
Daniel Kidd;Wanita;Kos;Belum;Orang Tua;2009;Bekasi;Tidak;Ya;6,5;FISIP
